0, 0,  0
3, 25, 7.17
5, 25, 12.13
13,33, 35.7
13,59, 37.05
15,55, 43.2
17,18, 47.63
18,9,  50.39
25,20,74.72
26,18,78.09
29,27,89.32
31,44,97.59
